id,slug,name,set,num,rarity,cond,lang,artist,nuovo,vetrina,entrata,ordine,image
21,volpe-di-nebbia-rad-075,Volpe di Nebbia,rad,075/154,secret,mint,Italiano,S. Adani,false,1,1 maggio,91,
22,scudo-solare-cie-145,Scudo Solare,cie,145/189,uncommon,good,Giapponese,R. Colella,false,3,16 aprile,407,
23,cervo-di-sale-rad-112,Cervo di Sale,rad,112/154,rare,good,Inglese,ignoto,false,4,27 maggio,487,
24,anguilla-di-lampo-mar-014,Anguilla di Lampo,mar,014/172,uncommon,played,Inglese,R. Colella,false,4,22 marzo,238,
25,pipistrello-di-cenere-for-082,Pipistrello di Cenere,for,082/102,rare,good,Italiano,L. Bonetti,false,4,16 ottobre,270,
26,lince-di-pioggia-mar-033,Lince di Pioggia,mar,033/172,rare,near-mint,Giapponese,R. Colella,false,2,19 ottobre,115,
27,coleottero-solare-alb-027,Coleottero Solare,alb,027/198,uncommon,mint,Inglese,ignoto,false,1,6 novembre,699,
28,tasso-di-notte-cie-112,Tasso di Notte,cie,112/189,holo,near-mint,Italiano,R. Colella,false,4,15 giugno,777,
29,lince-di-sabbia-rad-016,Lince di Sabbia,rad,016/154,common,excellent,Italiano,G. Prandi,false,2,7 luglio,629,
30,pipistrello-di-brace-cie-020,Pipistrello di Brace,cie,020/189,ultra,excellent,Inglese,L. Bonetti,false,4,22 settembre,907,
31,talpa-di-marea-cie-030,Talpa di Marea,cie,030/189,common,played,Giapponese,M. Ferretti,false,1,8 novembre,869,
32,anguilla-di-bruma-eco-005,Anguilla di Bruma,eco,005/165,uncommon,excellent,Italiano,S. Adani,false,2,7 gennaio,44,
33,ala-di-nebbia-mar-140,Ala di Nebbia,mar,140/172,holo,excellent,Inglese,L. Bonetti,false,3,27 settembre,962,
34,lince-di-nebbia-cie-033,Lince di Nebbia,cie,033/189,common,good,Inglese,L. Bonetti,false,3,11 maggio,121,
35,guardiano-di-bosco-mar-060,Guardiano di Bosco,mar,060/172,common,good,Italiano,M. Ferretti,false,1,23 ottobre,44,
36,pipistrello-d-ottone-mar-157,Pipistrello d'Ottone,mar,157/172,holo,mint,Giapponese,S. Adani,false,3,12 gennaio,172,
37,granchio-d-argento-eco-142,Granchio d'Argento,eco,142/165,holo,near-mint,Italiano,S. Adani,false,2,24 ottobre,678,
38,cervo-cremisi-cie-154,Cervo Cremisi,cie,154/189,holo,played,Inglese,S. Adani,false,3,9 ottobre,162,
39,talpa-di-brace-cie-089,Talpa di Brace,cie,089/189,holo,good,Italiano,S. Adani,false,1,1 giugno,811,
40,tasso-cremisi-for-083,Tasso Cremisi,for,083/102,common,excellent,Italiano,L. Bonetti,false,3,21 giugno,383,
41,cervo-di-quarzo-cie-146,Cervo di Quarzo,cie,146/189,common,near-mint,Inglese,G. Prandi,false,4,16 aprile,600,
42,gufo-di-nebbia-rad-025,Gufo di Nebbia,rad,025/154,common,mint,Italiano,G. Prandi,false,4,18 aprile,347,
43,rana-di-cenere-alb-011,Rana di Cenere,alb,011/198,uncommon,excellent,Italiano,G. Prandi,false,2,13 gennaio,840,
44,volpe-d-ottone-alb-041,Volpe d'Ottone,alb,041/198,uncommon,near-mint,Inglese,G. Prandi,false,4,22 maggio,866,
45,lince-di-cenere-rad-114,Lince di Cenere,rad,114/154,ultra,excellent,Giapponese,S. Adani,false,4,2 febbraio,307,
46,talpa-cremisi-cie-104,Talpa Cremisi,cie,104/189,common,excellent,Inglese,S. Adani,false,4,19 giugno,951,
47,coleottero-di-notte-cie-098,Coleottero di Notte,cie,098/189,rare,good,Inglese,M. Ferretti,false,3,27 ottobre,679,
48,gufo-di-quarzo-rad-088,Gufo di Quarzo,rad,088/154,uncommon,mint,Giapponese,G. Prandi,false,4,9 settembre,938,
49,riccio-di-quarzo-mar-075,Riccio di Quarzo,mar,075/172,common,excellent,Inglese,ignoto,false,1,9 luglio,422,
50,coleottero-di-bruma-alb-074,Coleottero di Bruma,alb,074/198,uncommon,good,Italiano,G. Prandi,false,2,17 ottobre,945,
51,tartaruga-di-pietra-for-067,Tartaruga di Pietra,for,067/102,uncommon,good,Italiano,S. Adani,false,1,23 febbraio,239,
52,corvo-di-quarzo-eco-024,Corvo di Quarzo,eco,024/165,holo,near-mint,Inglese,R. Colella,false,1,23 novembre,768,
53,anguilla-di-bosco-eco-007,Anguilla di Bosco,eco,007/165,secret,excellent,Italiano,G. Prandi,false,4,20 settembre,9,
54,granchio-di-bosco-eco-067,Granchio di Bosco,eco,067/165,holo,good,Inglese,M. Ferretti,false,4,27 luglio,721,
55,riccio-cremisi-alb-069,Riccio Cremisi,alb,069/198,holo,excellent,Italiano,ignoto,false,2,15 luglio,102,
56,riccio-di-marea-for-035,Riccio di Marea,for,035/102,secret,excellent,Italiano,L. Bonetti,false,3,1 giugno,818,
57,falco-di-quarzo-alb-126,Falco di Quarzo,alb,126/198,uncommon,near-mint,Inglese,M. Ferretti,false,4,20 ottobre,669,
58,lince-di-pietra-eco-112,Lince di Pietra,eco,112/165,uncommon,mint,Italiano,M. Ferretti,false,1,14 febbraio,221,
59,rana-di-brace-eco-041,Rana di Brace,eco,041/165,holo,good,Inglese,ignoto,false,1,8 giugno,404,
60,gufo-di-pioggia-rad-136,Gufo di Pioggia,rad,136/154,ultra,excellent,Italiano,ignoto,false,3,26 marzo,960,
61,anguilla-di-sabbia-rad-100,Anguilla di Sabbia,rad,100/154,ultra,near-mint,Italiano,L. Bonetti,false,4,21 luglio,611,
62,fulmine-di-bruma-cie-106,Fulmine di Bruma,cie,106/189,common,excellent,Giapponese,M. Ferretti,false,4,19 giugno,860,
63,cavalletta-solare-alb-150,Cavalletta Solare,alb,150/198,uncommon,good,Italiano,L. Bonetti,false,1,9 aprile,315,
64,rana-di-notte-mar-072,Rana di Notte,mar,072/172,holo,good,Italiano,L. Bonetti,false,3,18 febbraio,117,
65,falco-di-notte-eco-110,Falco di Notte,eco,110/165,common,played,Giapponese,G. Prandi,false,1,12 settembre,283,
66,falco-d-ottone-mar-034,Falco d'Ottone,mar,034/172,common,near-mint,Inglese,G. Prandi,false,1,26 gennaio,108,
67,granchio-di-brace-cie-110,Granchio di Brace,cie,110/189,secret,mint,Italiano,M. Ferretti,false,2,9 marzo,32,
68,serpe-di-ferro-for-016,Serpe di Ferro,for,016/102,uncommon,good,Italiano,ignoto,false,3,20 novembre,691,
69,serpe-di-vetro-mar-048,Serpe di Vetro,mar,048/172,common,excellent,Inglese,G. Prandi,false,3,22 ottobre,537,
70,fulmine-d-ottone-for-068,Fulmine d'Ottone,for,068/102,holo,good,Italiano,R. Colella,false,2,15 gennaio,559,
71,fulmine-di-ferro-mar-067,Fulmine di Ferro,mar,067/172,common,excellent,Italiano,G. Prandi,false,1,1 settembre,562,
72,ariete-cremisi-cie-141,Ariete Cremisi,cie,141/189,holo,excellent,Giapponese,L. Bonetti,false,2,1 gennaio,99,
73,fulmine-d-ambra-cie-038,Fulmine d'Ambra,cie,038/189,common,mint,Inglese,ignoto,false,4,23 novembre,736,
74,salamandra-di-nebbia-alb-071,Salamandra di Nebbia,alb,071/198,uncommon,excellent,Italiano,G. Prandi,false,3,14 settembre,340,
75,talpa-di-notte-alb-133,Talpa di Notte,alb,133/198,secret,near-mint,Italiano,S. Adani,false,1,13 luglio,615,
76,falco-di-pietra-alb-166,Falco di Pietra,alb,166/198,ultra,excellent,Italiano,S. Adani,false,3,3 marzo,661,
77,ala-d-ambra-for-003,Ala d'Ambra,for,003/102,ultra,near-mint,Inglese,M. Ferretti,false,4,17 marzo,613,
78,falco-di-lampo-cie-182,Falco di Lampo,cie,182/189,ultra,mint,Italiano,G. Prandi,false,3,4 giugno,241,
79,rana-di-nebbia-for-037,Rana di Nebbia,for,037/102,common,near-mint,Italiano,M. Ferretti,false,4,20 luglio,833,
80,guardiano-di-nebbia-for-014,Guardiano di Nebbia,for,014/102,uncommon,near-mint,Inglese,G. Prandi,false,4,2 febbraio,859,
81,talpa-di-nebbia-alb-100,Talpa di Nebbia,alb,100/198,uncommon,good,Inglese,S. Adani,false,1,3 maggio,936,
82,corvo-di-pietra-for-088,Corvo di Pietra,for,088/102,holo,near-mint,Inglese,R. Colella,false,3,14 luglio,702,
83,gufo-di-marea-for-075,Gufo di Marea,for,075/102,common,near-mint,Italiano,ignoto,false,1,10 ottobre,701,
84,fulmine-di-sabbia-mar-032,Fulmine di Sabbia,mar,032/172,common,near-mint,Italiano,ignoto,false,3,18 gennaio,419,
85,scudo-di-lampo-alb-047,Scudo di Lampo,alb,047/198,rare,near-mint,Giapponese,M. Ferretti,false,1,23 maggio,985,
86,volpe-di-notte-cie-080,Volpe di Notte,cie,080/189,uncommon,played,Inglese,R. Colella,false,3,10 ottobre,730,
87,guardiano-di-sale-mar-124,Guardiano di Sale,mar,124/172,uncommon,mint,Giapponese,ignoto,false,4,14 giugno,535,
88,lupo-di-brace-for-073,Lupo di Brace,for,073/102,holo,good,Inglese,ignoto,false,1,15 maggio,940,
89,serpe-di-sabbia-eco-087,Serpe di Sabbia,eco,087/165,uncommon,mint,Inglese,M. Ferretti,false,2,3 gennaio,183,
90,gufo-di-brace-for-021,Gufo di Brace,for,021/102,common,excellent,Italiano,ignoto,false,4,15 novembre,975,
91,granchio-di-ferro-for-026,Granchio di Ferro,for,026/102,ultra,near-mint,Giapponese,L. Bonetti,false,2,2 marzo,505,
92,granchio-cremisi-mar-095,Granchio Cremisi,mar,095/172,holo,excellent,Giapponese,G. Prandi,false,2,14 aprile,315,
93,fulmine-di-sale-mar-067,Fulmine di Sale,mar,067/172,holo,excellent,Giapponese,M. Ferretti,false,1,22 marzo,582,
94,falco-di-brace-rad-050,Falco di Brace,rad,050/154,common,excellent,Italiano,R. Colella,false,1,23 febbraio,907,
95,falco-d-ambra-rad-072,Falco d'Ambra,rad,072/154,rare,mint,Italiano,ignoto,false,2,20 maggio,47,
96,tartaruga-di-pioggia-for-045,Tartaruga di Pioggia,for,045/102,uncommon,near-mint,Italiano,L. Bonetti,false,4,8 novembre,202,
97,volpe-cremisi-rad-144,Volpe Cremisi,rad,144/154,holo,played,Italiano,S. Adani,false,2,6 settembre,642,
98,rana-d-argento-rad-151,Rana d'Argento,rad,151/154,common,good,Inglese,G. Prandi,false,2,12 ottobre,988,
99,tasso-d-ambra-cie-037,Tasso d'Ambra,cie,037/189,rare,excellent,Giapponese,R. Colella,false,4,7 settembre,821,
100,guardiano-di-brace-for-069,Guardiano di Brace,for,069/102,common,near-mint,Italiano,G. Prandi,false,1,4 ottobre,531,
